Tier,Bed,Plot,Label,Group,Avg_Height_Drone_cm,Vegetation_Fraction,Avg_Temp_C,Average_Height_from_Rover_cm,Average_Leaf_Area_cm2,Average_Pod_Count,Average_Leaf_Count,Average_Flower_Count,Date,Intensive_physiological_plot
6,24,717,191,CB-tepary,0.188297843,0.164471007,41.03898102,5.6,1025.92,0,5,1,7/25/2022,0
7,24,718,290,CB-tepary,0.090032345,0.019375025,40.08973762,5.56,14.28,0,2,0,6/20/2022,0
7,24,718,290,CB-tepary,0.047430109,0.173439258,33.24405311,10.74,429.9,0,13,0,7/11/2022,0
7,24,718,290,CB-tepary,0.050002667,0.20309296,42.08254511,15.75,543.62,0,16,1,7/25/2022,0
8,24,719,46,CB-tepary,0.120010743,0.02146424,39.98844493,7.6,20.54,0,3,0,6/20/2022,0
8,24,719,46,CB-tepary,0.262347738,0.161651669,35.44132726,21.39,175.98,1,15,0,7/11/2022,0
8,24,719,46,CB-tepary,0.401733635,0.285479323,40.30392275,28.71,599.92,1,25,1,7/25/2022,0
9,24,720,310,CB-tepary,0.130650343,0.015906894,40.59150528,8.49,16.81,0,2,0,6/20/2022,0
9,24,720,310,CB-tepary,0.241939477,0.151471985,41.94183987,20.96,382.6,0,20,1,7/25/2022,0
9,25,721,235,CB-tepary,0.087101609,0.027021585,39.98992886,5.05,29.05,0,4,0,6/20/2022,0
9,25,721,235,CB-tepary,0.210577706,0.12639185,38.06688875,27.77,166.79,0,24,1,7/11/2022,0
9,25,721,235,CB-tepary,0.35272492,0.24192961,36.68871601,33.64,604.93,1,32,3,7/25/2022,0
8,25,722,173,CB-tepary,0.075919569,0.027424291,39.9870154,2.46,12.85,0,1,0,6/20/2022,0
8,25,722,173,CB-tepary,0.064977156,0.179274466,36.53871262,18.95,193.62,0,21,0,7/11/2022,0
8,25,722,173,CB-tepary,0.114800754,0.264076384,35.21213914,27.09,626.26,1,32,1,7/25/2022,0
7,25,723,171,CB-tepary,0.078514272,0.033174215,39.9351582,1.22,17.19,0,1,0,6/20/2022,0
7,25,723,171,CB-tepary,0.04787786,0.351026434,32.82180014,14.81,290.84,0,13,1,7/11/2022,0
7,25,723,171,CB-tepary,0.133104163,0.384035373,34.13162686,16.06,658.11,1,16,1,7/25/2022,0
6,25,724,Check1,CB-tepary,0.087114751,0.04416543,40.22751746,5.29,16.19,0,2,0,6/20/2022,0
6,25,724,Check1,CB-tepary,0.139978549,0.697397014,30.57299275,18.05,507.51,1,6,1,7/11/2022,0
6,25,724,Check1,CB-tepary,0.117151344,0.333527584,39.8641614,10.36,521.47,1,8,1,7/25/2022,0
6,26,725,106,CB-tepary,0.069284052,0.019294797,40.81501249,9.02,12.43,0,1,0,6/20/2022,0
6,26,725,106,CB-tepary,0.135578907,0.784730034,31.20069799,16.07,1139.28,0,6,1,7/11/2022,0
6,26,725,106,CB-tepary,0.181249241,0.283829231,30.61752026,15.14,446.35,1,11,1,7/25/2022,0
7,26,726,253,CB-tepary,0.083933611,0.042801556,40.19578045,7.98,16.94,0,3,0,6/20/2022,0
7,26,726,253,CB-tepary,0.199647626,0.698842332,31.69808703,17.74,960.26,1,18,1,7/11/2022,0
7,26,726,253,CB-tepary,0.381346822,0.535274621,29.35477537,29.63,988.26,1,18,2,7/25/2022,0
8,26,727,229,CB-tepary,0.098459318,0.035115979,40.05584441,9.38,24.71,0,4,0,6/20/2022,0
8,26,727,229,CB-tepary,0.282915352,0.291950113,38.45601048,24.51,215.36,0,20,0,7/11/2022,0
8,26,727,229,CB-tepary,0.564013016,0.476325758,28.24164137,43.63,774.64,1,22,1,7/25/2022,0
9,26,728,162,CB-tepary,0.077070504,0.023799936,40.36932796,9.26,15.1,0,3,0,6/20/2022,0
9,26,728,162,CB-tepary,0.145876073,0.230790927,35.17267867,19.27,286.39,1,23,0,7/11/2022,0
9,26,728,162,CB-tepary,0.386520546,0.356360988,29.50887429,28.14,1278.81,0,33,1,7/25/2022,0
9,27,729,140,CB-tepary,0.161409661,0.222373306,31.16109676,26.71,347.09,1,29,1,7/25/2022,0
8,27,730,Check2,CB-tepary,0.340695999,0.303126172,31.85757451,27.83,214.74,0,26,0,7/11/2022,0
8,27,730,Check2,CB-tepary,0.472547022,0.444484792,31.43020641,35.99,580.58,1,26,2,7/25/2022,0
7,27,731,227,CB-tepary,0.174845308,0.226055195,30.76402659,21.64,467.89,1,24,1,7/25/2022,0
6,27,732,57,CB-tepary,0.501410721,0.270676692,29.99260462,27.54,572.76,1,21,1,7/25/2022,0
10,24,733,Check2,CB-tepary,0.087598313,0.064944442,37.96675642,11.17,47.94,0,7,0,6/20/2022,0
10,24,733,Check2,CB-tepary,0.486470835,0.40931059,32.48916764,34.01,264.6,1,26,1,7/11/2022,0
10,24,733,Check2,CB-tepary,0.539561518,0.679271346,32.32544976,42.92,943.76,1,36,4,7/25/2022,0
11,24,734,80,CB-tepary,0.060036284,0.036222873,39.69541401,8.49,25.37,0,5,0,6/20/2022,0
11,24,734,80,CB-tepary,0.31337193,0.258173698,31.50252993,26.72,251.65,0,24,1,7/11/2022,0
11,24,734,80,CB-tepary,0.613180102,0.386040806,36.15335563,42.5,731.62,1,32,2,7/25/2022,0
12,24,735,98,CB-tepary,0.079045773,0.020097076,39.75187582,8.51,13.5,0,3,0,6/20/2022,0
12,24,735,98,CB-tepary,0.284532243,0.207034203,31.96702305,22.34,247.05,0,23,0,7/11/2022,0
12,24,735,98,CB-tepary,0.563405694,0.319420711,34.78177263,40.09,654.55,1,23,2,7/25/2022,0
13,24,736,183,CB-tepary,0.088103599,0.01304768,40.29551157,7.58,11.07,0,2,0,6/20/2022,0
13,24,736,183,CB-tepary,0.175517401,0.146747282,32.05143668,21.46,202.55,1,19,0,7/11/2022,0
13,24,736,183,CB-tepary,0.161165044,0.263286421,40.40144112,35.38,659.06,1,28,1,7/25/2022,0
13,25,737,Check1,CB-tepary,0.324088194,0.392435321,31.73419685,28.57,279.49,0,39,1,7/11/2022,0
13,25,737,Check1,CB-tepary,0.539456099,0.703703704,31.94458624,13.85,592.36,0,51,1,7/25/2022,0
12,25,738,97,CB-tepary,0.340254746,0.297902494,35.86418405,31.31,225.64,0,27,1,7/11/2022,0
11,25,739,248,CB-tepary,0.113910275,0.125374953,38.78601656,25.83,115.35,0,18,0,7/11/2022,0
11,25,739,248,CB-tepary,0.299692892,0.188576102,34.44395405,20.72,295.55,0,16,1,7/25/2022,0
10,25,740,322,CB-tepary,0.134606018,0.232963067,39.91314747,26.06,174.92,0,24,1,7/11/2022,0
10,26,741,9,CB-tepary,0.075568289,0.009705219,40.27569179,7.04,11.58,0,2,0,6/20/2022,0
10,26,741,9,CB-tepary,0.12837414,0.102010686,32.95474931,15.28,284.73,0,32,0,7/11/2022,0
10,26,741,9,CB-tepary,0.205831069,0.226827753,31.08638373,27.4,1053.88,0,46,1,7/25/2022,0
11,26,742,226,CB-tepary,0.073721892,0.021019696,40.08330172,10.89,14.36,0,3,0,6/20/2022,0
11,26,742,226,CB-tepary,0.100384677,0.223568594,37.90095237,21.16,224.04,0,21,0,7/11/2022,0
11,26,742,226,CB-tepary,0.298984396,0.41893797,30.0701288,33.86,681.64,1,29,1,7/25/2022,0
12,26,743,221,CB-tepary,0.08818181,0.014120101,39.92659232,7.83,11.85,0,2,0,6/20/2022,0
12,26,743,221,CB-tepary,0.10681526,0.333052118,34.09832227,14.14,968.72,0,16,1,7/11/2022,0
12,26,743,221,CB-tepary,0.183120793,0.374763258,28.90861801,20.91,1482.08,1,20,2,7/25/2022,0
13,26,744,186,CB-tepary,0.095089698,0.024484536,40.35213515,9.98,14.44,0,4,0,6/20/2022,0
13,26,744,186,CB-tepary,0.226229499,0.374203225,36.09020994,24.74,360.51,0,24,1,7/11/2022,0
13,26,744,186,CB-tepary,0.482419905,0.392644393,27.53419355,37.89,655.11,1,29,2,7/25/2022,0
13,27,745,232,CB-tepary,0.093802322,0.023759665,40.97633871,6.39,25.98,0,3,0,6/20/2022,0
13,27,745,232,CB-tepary,0.273739089,0.189609111,31.56149681,27.08,207.3,0,23,1,7/11/2022,0
13,27,745,232,CB-tepary,0.378342226,0.284749201,32.9030548,33.51,589.97,1,24,2,7/25/2022,0
12,27,746,50,CB-tepary,0.08434822,0.022824822,40.35232424,9.72,8.94,0,2,0,6/20/2022,0
12,27,746,50,CB-tepary,0.196635815,0.217332208,33.27091685,22.78,53,0,10,0,7/11/2022,0
12,27,746,50,CB-tepary,0.375853315,0.321813055,29.7705918,35.18,869.09,1,44,1,7/25/2022,0
11,27,747,283,CB-tepary,0.078009117,0.013919531,40.52620798,4.54,10.65,0,2,0,6/20/2022,0
11,27,747,283,CB-tepary,0.185030219,0.078248031,33.16141634,27.38,83.01,0,13,0,7/11/2022,0
11,27,747,283,CB-tepary,0.137686139,0.171244874,32.17540695,26.62,360.02,1,20,1,7/25/2022,0
10,27,748,125,CB-tepary,0.517324372,0.632135895,28.70388112,37.44,870.89,1,23,2,7/25/2022,0
14,24,749,Check1,CB-tepary,0.033990549,0.059117268,39.93932155,11.07,39.83,0,8,0,6/20/2022,0
14,24,749,Check1,CB-tepary,0.414744282,0.526360324,30.63715695,31.98,361.67,1,38,1,7/11/2022,0
14,24,749,Check1,CB-tepary,0.558555886,0.830549081,31.40728425,48.43,1028.62,1,52,2,7/25/2022,0
15,24,750,79,CB-tepary,0.101229983,0.024068354,40.09107475,8.96,21.91,0,4,0,6/20/2022,0
15,24,750,79,CB-tepary,0.278715313,0.216605737,32.57610482,23.31,232.92,0,24,1,7/11/2022,0
15,24,750,79,CB-tepary,0.40926837,0.282929546,33.03891767,29.26,740.82,1,30,1,7/25/2022,0
16,24,751,20,CB-tepary,0.103356771,0.017489671,40.86299081,10.25,19.18,0,4,0,6/20/2022,0
16,24,751,20,CB-tepary,0.218379033,0.197506562,32.5154189,27.48,257.82,0,28,0,7/11/2022,0
16,24,751,20,CB-tepary,0.39391672,0.302823821,35.0846395,38.27,818.22,1,34,2,7/25/2022,0
17,24,752,138,CB-tepary,0.080357814,0.061294075,40.59794101,10.6,33.87,0,6,0,6/20/2022,0
17,24,752,138,CB-tepary,0.385010683,0.405910199,31.65687556,32.18,235.34,1,23,0,7/11/2022,0
17,24,752,138,CB-tepary,0.697552873,0.621425358,31.48157019,55.7,676.03,2,21,2,7/25/2022,0
17,25,753,205,CB-tepary,0.094049999,0.045868235,40.07346277,10.3,44.95,0,4,0,6/20/2022,0
17,25,753,205,CB-tepary,0.265074946,0.258319273,34.8404085,28.84,212.9,0,26,1,7/11/2022,0
16,25,754,163,CB-tepary,0.090858387,0.038990734,40.4192792,6.4,18.14,0,4,0,6/20/2022,0
16,25,754,163,CB-tepary,0.289154961,0.261061117,32.83284615,30.63,177.36,0,20,0,7/11/2022,0
15,25,755,170,CB-tepary,0.090575774,0.038990734,39.7711351,7.77,21.75,0,2,0,6/20/2022,0
15,25,755,170,CB-tepary,0.204949707,0.217519685,30.2347251,26.75,215.92,0,26,1,7/11/2022,0
14,25,756,192,CB-tepary,0.377048998,0.279774357,37.40319431,30.78,252.81,0,23,0,7/11/2022,0
14,25,756,192,CB-tepary,0.620888841,0.507722297,27.81464673,42.4,894.47,1,22,1,7/25/2022,0
14,26,757,325,CB-tepary,0.079001721,0.022873711,41.0408452,11.84,20.01,0,4,0,6/20/2022,0
14,26,757,325,CB-tepary,0.218255491,0.301492537,35.11531797,24.18,316.43,0,21,1,7/11/2022,0
14,26,757,325,CB-tepary,0.483850656,0.48004627,28.62589391,39.96,942.64,1,21,1,7/25/2022,0
15,26,758,Check2,CB-tepary,0.102101817,0.087608809,39.32870929,11.23,53.7,0,7,0,6/20/2022,0
15,26,758,Check2,CB-tepary,0.53789347,0.580585263,30.19375072,34.46,460.89,1,27,1,7/11/2022,0
15,26,758,Check2,CB-tepary,0.467458808,0.758841548,26.37823951,41.37,730.2,1,25,2,7/25/2022,0
16,26,759,127,CB-tepary,0.075116491,0.030045329,40.36129442,7.94,18.4,0,3,0,6/20/2022,0
16,26,759,127,CB-tepary,0.303180357,0.2601003,34.04124143,27.01,232.49,0,19,0,7/11/2022,0
16,26,759,127,CB-tepary,0.555555947,0.462790499,28.93727343,46.59,880.18,1,24,2,7/25/2022,0
17,26,760,218,CB-tepary,0.100953726,0.021806096,41.33148202,8.81,25.02,0,4,0,6/20/2022,0
17,26,760,218,CB-tepary,0.215515542,0.198341837,34.2797355,25.61,226.44,1,24,1,7/11/2022,0
17,26,760,218,CB-tepary,0.403771228,0.385349219,30.47486274,43.18,740.22,2,34,2,7/25/2022,0
17,27,761,244,CB-tepary,0.077060602,0.017248987,41.01852715,7.56,16.45,0,3,0,6/20/2022,0
17,27,761,244,CB-tepary,0.280056505,0.148832958,32.17467359,25.39,191.73,0,19,0,7/11/2022,0
17,27,761,244,CB-tepary,0.490324838,0.270912324,30.76801807,36.6,479.92,1,20,2,7/25/2022,0
16,27,762,311,CB-tepary,0.320808858,0.323735475,30.01061435,32.44,404.94,1,23,1,7/25/2022,0
15,27,763,119,CB-tepary,0.104231365,0.038549481,40.44871007,8.73,33.5,0,4,0,6/20/2022,0
15,27,763,119,CB-tepary,0.406211141,0.273551744,31.15856815,31.66,260.22,0,21,0,7/11/2022,0
15,27,763,119,CB-tepary,0.540491261,0.590822757,26.5364463,42.61,1004.97,1,24,2,7/25/2022,0
14,27,764,247,CB-tepary,0.069016752,0.03189433,41.24489588,6.61,25.32,0,4,0,6/20/2022,0
14,27,764,247,CB-tepary,0.249006909,0.225079328,31.23400763,34.46,238.08,0,26,0,7/11/2022,0
14,27,764,247,CB-tepary,0.41124776,0.352499352,30.35925868,42.57,572.9,1,24,2,7/25/2022,0
18,24,765,190,CB-tepary,0.077662138,0.026555417,41.31424772,7.19,67.66,0,5,0,6/20/2022,0
18,24,765,190,CB-tepary,0.229365435,0.244307445,31.0398706,28.08,194.05,0,19,0,7/11/2022,0
18,24,765,190,CB-tepary,0.562980483,0.372420789,36.9314027,43.12,657.33,1,28,2,7/25/2022,0
19,24,766,Check2,CB-tepary,0.082412638,0.083118557,39.94855011,9.8,54.8,0,7,0,6/20/2022,0
19,24,766,Check2,CB-tepary,0.493331606,0.526289811,30.49486464,36.42,288.63,1,22,1,7/11/2022,0
19,24,766,Check2,CB-tepary,0.447865005,0.668285418,33.29087892,39.34,713.62,1,30,2,7/25/2022,0
20,24,767,228,CB-tepary,0.074880691,0.087951031,40.2091135,9.67,50.06,0,6,0,6/20/2022,0
20,24,767,228,CB-tepary,0.412800715,0.519755343,30.20440862,34.34,271.67,1,16,0,7/11/2022,0
20,24,767,228,CB-tepary,0.683172987,0.693032297,31.68096108,52.7,646.35,1,16,2,7/25/2022,0
21,24,768,174,CB-tepary,0.276635252,0.226922714,32.33226131,28.67,230.81,0,20,0,7/11/2022,0
21,24,768,174,CB-tepary,0.38762379,0.285842812,38.84148039,29.9,445.44,1,28,1,7/25/2022,0
21,25,769,Check1,CB-tepary,0.315562478,0.386148904,30.90167192,30.23,295.47,1,36,1,7/11/2022,0
20,25,770,120,CB-tepary,0.126982849,0.052996134,40.34368806,9.78,49.34,0,4,0,6/20/2022,0
20,25,770,120,CB-tepary,0.402509041,0.309547244,33.13255462,28.5,183.84,0,18,0,7/11/2022,0
20,25,770,120,CB-tepary,0.574426413,0.507188361,31.03894922,41.92,1304.43,0,42,5,7/25/2022,0
19,25,771,188,CB-tepary,0.133735932,0.301657069,34.32361607,31.77,194.14,0,23,1,7/11/2022,0
19,25,771,188,CB-tepary,0.574617648,0.453676927,29.95930899,44.01,844.82,1,33,2,7/25/2022,0
18,25,772,83,CB-tepary,0.284559742,0.440830499,30.9143432,32.25,246.69,1,21,1,7/11/2022,0
18,26,773,329,CB-tepary,0.071831585,0.046853063,40.20800963,9.03,30.42,0,7,0,6/20/2022,0
18,26,773,329,CB-tepary,0.369607458,0.492032246,30.59060884,30.62,374.16,0,33,1,7/11/2022,0
18,26,773,329,CB-tepary,0.512740277,0.767474241,26.72008764,43.6,1041.86,1,53,1,7/25/2022,0
19,26,774,287,CB-tepary,0.086370109,0.046713918,40.6716052,8.69,28.86,0,4,0,6/20/2022,0
19,26,774,287,CB-tepary,0.292103769,0.307627218,32.9327244,26.54,197.95,0,19,0,7/11/2022,0
19,26,774,287,CB-tepary,0.59175742,0.522609944,29.35261039,44.7,589.37,1,23,2,7/25/2022,0
20,26,775,172,CB-tepary,0.087842318,0.014658505,41.30924955,9.46,19.15,0,3,0,6/20/2022,0
20,26,775,172,CB-tepary,0.087710661,0.327026644,36.81544886,15.81,567.45,0,28,0,7/11/2022,0
20,26,775,172,CB-tepary,0.155657784,0.409347232,30.75547584,26.28,1052.02,2,37,1,7/25/2022,0
21,26,776,88,CB-tepary,0.070607057,0.035317332,41.06797453,9.84,25.45,0,5,0,6/20/2022,0
21,26,776,88,CB-tepary,0.342513055,0.318311774,31.54288334,30.49,289.75,0,23,0,7/11/2022,0
21,26,776,88,CB-tepary,0.508798809,0.674078358,26.97991334,41.26,795.3,2,28,1,7/25/2022,0
21,27,777,87,CB-tepary,0.077272127,0.035115979,40.23936444,6.77,17.79,0,3,0,6/20/2022,0
21,27,777,87,CB-tepary,0.258890827,0.224667229,31.60561571,28.24,122.14,0,17,1,7/11/2022,0
21,27,777,87,CB-tepary,0.414368592,0.44375897,28.70623764,40.93,520.86,1,23,2,7/25/2022,0
20,27,778,111,CB-tepary,0.08560055,0.013450387,40.45843868,4.91,15.12,0,2,0,6/20/2022,0
20,27,778,111,CB-tepary,0.215704845,0.093503937,31.90799664,22.57,149.14,0,25,0,7/11/2022,0
20,27,778,111,CB-tepary,0.328077435,0.101909604,35.22569354,26.27,388.18,1,19,1,7/25/2022,0
19,27,779,234,CB-tepary,0.083997296,0.031411082,40.78717928,7.02,16.67,0,3,0,6/20/2022,0
19,27,779,234,CB-tepary,0.13110922,0.289387707,33.58011874,25.95,158.07,1,22,1,7/11/2022,0
19,27,779,234,CB-tepary,0.340367034,0.321613572,29.7197114,32.44,421.89,1,18,1,7/25/2022,0
18,27,780,39,CB-tepary,0.075673603,0.017289101,40.21814237,7.17,17.06,0,2,0,6/20/2022,0
18,27,780,39,CB-tepary,0.113273254,0.283722347,34.72970418,17.47,322.14,1,16,1,7/11/2022,0
18,27,780,39,CB-tepary,0.160659164,0.223840974,27.10885633,19.92,496.04,1,15,1,7/25/2022,0
22,24,781,319,CB-tepary,0.191841938,0.348612673,32.30956129,30.16,296.27,1,24,1,7/11/2022,0
22,24,781,319,CB-tepary,0.4067074,0.40924962,33.84689957,39.43,703.25,2,21,2,7/25/2022,0
23,24,782,92,CB-tepary,0.432512961,0.369117923,30.48914663,34.3,310.26,1,22,1,7/11/2022,0
23,24,782,92,CB-tepary,0.648574547,0.537943538,32.12891926,49.31,797.93,1,18,2,7/25/2022,0
24,24,783,37,CB-tepary,0.45340272,0.451741294,29.43848102,31.54,294.75,1,4,1,7/11/2022,0
24,24,783,37,CB-tepary,0.660063547,0.650374483,32.51357279,49.99,877.23,1,22,2,7/25/2022,0
25,24,784,167,CB-tepary,0.427793272,0.485822085,30.81978728,29.08,365.24,0,20,0,7/11/2022,0
25,24,784,167,CB-tepary,0.464644265,0.722275775,29.50980327,43.72,883.43,1,21,1,7/25/2022,0
25,25,785,136,CB-tepary,0.42162063,0.455919573,31.05785473,33.95,241.28,1,25,0,7/11/2022,0
25,25,785,136,CB-tepary,0.569860279,0.712423379,27.93523231,54.52,1017.62,1,34,3,7/25/2022,0
24,25,786,75,CB-tepary,0.449708021,0.304924198,36.41869653,36.43,221.01,1,19,0,7/11/2022,0
23,25,787,109,CB-tepary,0.431680757,0.49210255,30.13893086,36.35,289.48,0,19,0,7/11/2022,0
23,25,787,109,CB-tepary,0.635564925,0.678362573,27.77887978,52.01,774.37,1,18,2,7/25/2022,0
22,25,788,207,CB-tepary,0.376910843,0.346058305,35.89910741,31.66,229.6,0,22,0,7/11/2022,0
22,26,789,200,CB-tepary,0.119340277,0.035821734,40.65357122,10.88,29.73,0,4,0,6/20/2022,0
22,26,789,200,CB-tepary,0.325974571,0.262396888,31.61426128,25.79,291.12,0,19,1,7/11/2022,0
22,26,789,200,CB-tepary,0.549133835,0.525123025,28.43369102,50.26,854.16,1,21,2,7/25/2022,0
23,26,790,10,CB-tepary,0.102106138,0.049420354,41.04523346,8.97,31,0,4,0,6/20/2022,0
23,26,790,10,CB-tepary,0.387628871,0.411682729,31.24453675,33.16,307.16,1,17,1,7/11/2022,0
23,26,790,10,CB-tepary,0.608351139,0.691964955,26.91294265,50.98,1276.18,1,17,3,7/25/2022,0
24,26,791,189,CB-tepary,0.090699932,0.012916683,41.75443315,9.61,17.34,0,3,0,6/20/2022,0
24,26,791,189,CB-tepary,0.223586894,0.152708896,32.30937086,19.8,247.4,0,23,0,7/11/2022,0
24,26,791,189,CB-tepary,0.38008424,0.301157724,29.90410078,35.54,871.28,0,29,1,7/25/2022,0
25,26,792,146,CB-tepary,0.084241439,0.007973582,41.35303569,13.76,9.49,0,2,0,6/20/2022,0
25,26,792,146,CB-tepary,0.05591133,0.053524559,37.20427659,17.1,158.41,0,16,0,7/11/2022,0
25,26,792,146,CB-tepary,0.214368062,0.115138273,30.75296096,24.57,427.29,1,23,1,7/25/2022,0
25,27,793,271,CB-tepary,0.101505348,0.023961018,40.40030894,9.15,52.44,0,5,0,6/20/2022,0
25,27,793,271,CB-tepary,0.2576658,0.15581646,33.28386267,28.94,273.93,1,25,0,7/11/2022,0
25,27,793,271,CB-tepary,0.207906599,0.204142836,35.05094108,27.4,584.5,1,40,1,7/25/2022,0
24,27,794,Check1,CB-tepary,0.459384854,0.567191804,27.10201625,35.41,1053.1,1,57,1,7/25/2022,0
23,27,795,143,CB-tepary,0.123855663,0.159026997,34.44158886,26.09,75.52,0,10,0,7/11/2022,0
23,27,795,143,CB-tepary,0.37355666,0.306030389,29.96346241,33.61,416.09,1,24,1,7/25/2022,0
22,27,796,Check2,CB-tepary,0.104844937,0.069677885,39.71919757,8.75,36.97,0,6,0,6/20/2022,0
22,27,796,Check2,CB-tepary,0.393506414,0.497867454,30.49745888,33.25,240.07,0,23,1,7/11/2022,0
22,27,796,Check2,CB-tepary,0.575583354,0.674228306,27.69708523,39.85,721.17,1,30,3,7/25/2022,0
28,24,799,60,CB-tepary,0.411862448,0.35941601,31.78859554,33.22,339.52,1,26,1,7/11/2022,0
28,24,799,60,CB-tepary,0.477862249,0.442320937,30.95677329,11.34,49.63,0,6,0,7/25/2022,0
29,24,800,224,CB-tepary,0.065850995,0.057586985,39.95047372,9.12,26.64,0,5,0,6/20/2022,0
29,24,800,224,CB-tepary,0.335642651,0.423251781,31.15407114,29.88,219.29,1,18,1,7/11/2022,0
29,24,800,224,CB-tepary,0.511459966,0.615125615,29.89497209,38.86,581.12,1,19,1,7/25/2022,0
29,25,801,151,CB-tepary,0.109634134,0.077740784,38.91767308,9.99,45.79,0,7,0,6/20/2022,0
